factor,adf_stat,pvalue,crit_1pct,crit_5pct,crit_10pct
MKT_RF,-18.17736007162307,2.438092490045753e-30,-3.4524859843440754,-2.871288184343229,-2.571964047565425
SMB,-13.542444141186408,2.498107462254988e-25,-3.4525611751768914,-2.87132117782556,-2.5719816428028888
HML,-7.477456830009371,4.871023664044546e-11,-3.452867117291862,-2.8714554160827745,-2.5720532321867466
RMW,-4.052817171825369,0.0011578462738321361,-3.453102162983312,-2.871558538275452,-2.5721082282996433
CMA,-19.237874830816164,0.0,-3.4524859843440754,-2.871288184343229,-2.571964047565425
MOM_EQ,-17.933443937563897,2.8777072920307575e-30,-3.4524859843440754,-2.871288184343229,-2.571964047565425
