window_start,window_end,n_months,mean_r2,mean_adj_r2,mom_sig_rate,alpha_sig_rate,mean_abs_mom_beta
2021-08,2023-07,24,0.8489543952230337,0.8171553205331462,22.727272727272727,13.636363636363635,0.24678241038142087
2022-02,2024-01,24,0.8675475447226447,0.839662817295833,21.052631578947366,31.57894736842105,0.3398102798915292
2022-08,2024-07,24,0.8659158989156598,0.8376876671084302,20.833333333333336,29.166666666666668,0.35107925674534685
2023-02,2025-01,24,0.8938892890603046,0.8715501920203687,32.0,24.0,0.5865505912134275
2023-08,2025-07,24,0.9224112876933048,0.9060768219445269,20.0,16.0,0.4754498676161769
