model,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_MOM_EQ,t_MOM_EQ
FF5+MOM_EQ,size_bm,1,1,11,-0.009430486246891898,-0.9509464794059966,0.34163154550663366,0.8812468392853711,0.7031170982134276,1.1085589041836843,10.067542304296339,0.6400420196827311,5.378874992073547,0.8969071795618124,2.4405288029179784,0.4673106344146999,6.074713656807445,-1.1606404909141337,-4.754411538068398,1.1385134375077515,1.8320414381518504
FF5+MOM_EQ,size_bm,1,2,11,0.07212357860307737,7.759190201644461,8.547338249704834e-15,0.9226188168765841,0.8065470421914602,1.6976025651107285,14.52893765538053,0.2867615938916773,1.2720175692001268,1.9437731678882553,6.776914338450119,0.07270055920575025,0.7944689554586505,-0.20212134108766297,-0.5380578925220542,2.0471016953984082,5.557976855653548
FF5+MOM_EQ,size_bm,1,3,11,0.046618936635574246,3.5483087243103237,0.0003877134872789024,0.9613203894995003,0.9033009737487507,1.519120708670663,14.572690086226373,0.9144570737153744,6.850491992555396,1.288820681294024,4.02289118401757,0.023085755748108505,0.7051601713356584,0.483032723120705,1.9862957141488622,1.4756905372088394,3.971284331527282
FF5+MOM_EQ,size_bm,1,4,11,0.022761623350467143,2.267157229082257,0.02338062258135686,0.9782536852542997,0.9456342131357491,1.3627626975886689,17.916242670134395,1.217968411522936,11.735955872578556,0.9169497913957863,4.825407441063195,0.056294819442346905,1.786786865623633,0.9890991467951065,7.788417746765329,0.6523625980687626,2.4757526066666595
FF5+MOM_EQ,size_bm,1,5,11,-0.002176523392166424,-0.2168177115067077,0.8283504084875356,0.9714117692727543,0.9285294231818857,1.132974612940517,14.72970481889059,0.7184851075412568,13.239442224480683,0.909450471285967,8.544247410519546,0.2995831468817157,6.573712684656828,1.0156207989833788,8.617342280759066,0.2657174713230166,2.283381098007165
FF5+MOM_EQ,size_bm,2,1,11,-0.059532481037314455,-1.0587123119729522,0.28973081899938624,0.6588774049386794,0.14719351234669853,0.6184096311219932,1.5127287750029907,0.63729713119559,1.884469653937591,-1.755030038057974,-2.4679836934663273,-0.055224424754057644,-0.13140313907706735,1.2859931430879197,1.0032595383486946,-0.8122065280161157,-2.388112169496349
FF5+MOM_EQ,size_bm,2,2,11,0.0018425543872715583,0.1581399811893013,0.874346496541362,0.9809936158383324,0.9524840395958312,1.1234656430471688,12.705008052512499,0.29985446786149594,3.5332954450846126,-0.47244363552639657,-2.428680137529345,-0.0647502192084084,-1.6714558445067211,0.6894629130042623,4.258695798286124,-0.09853266553110895,-0.4497669668677587
FF5+MOM_EQ,size_bm,2,3,11,0.0005025689493092997,0.03616930233081644,0.9711473631575657,0.9462947145250546,0.8657367863126366,1.1578136654915285,12.601634724435753,0.30611430495633796,3.9007241681368616,0.02283715025449773,0.11124248787074197,-0.05397266947802801,-0.9976383221001942,-0.06559445259917607,-0.28458876117269727,-0.1813816787417568,-0.6273365515583113
FF5+MOM_EQ,size_bm,2,4,11,0.01321857318077442,3.089172326622271,0.0020071497953630273,0.9818375743286653,0.9545939358216631,1.2573244509038104,22.11621983018237,0.22203514518661205,2.8654550959133416,0.72982647162138,5.857042512672362,-0.038504529911909904,-1.3385470094224803,-0.21480739569622065,-1.5089102357462745,0.2195987002984654,1.7688003448159368
FF5+MOM_EQ,size_bm,2,5,11,0.009671452289080687,2.1077238903268802,0.0350548795725157,0.9806113246716188,0.9515283116790471,1.0710094956798202,20.08473538407415,-0.08922149891401021,-1.0035362902884855,0.7660307334004793,7.680306514994487,-0.021074392249350326,-0.6320574135877588,-0.7618625841396933,-7.1413833870112375,0.2730155471050302,2.478692420870109
