period,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,p_MKT_RF,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_MOM_24M,t_MOM_24M,p_MOM_24M
period1,size_bm,1,1,16,-0.06724721977692266,-1.3162288226276548,0.1880972524537674,0.265816074011186,-0.0011598990756553906,-0.12649750561836356,-0.23276527569462654,0.8159436783266691,0.20289987920828056,0.6663064944522857,0.5052152153088587,-0.7824094423152279,-1.0218059758365416,0.3068727404611653,-1.6146346352214307,-1.3478940155038432,0.17769247317878356
period1,size_bm,1,2,19,0.006157672519952698,0.25055769311655657,0.802156094426379,0.6583919157419866,0.5607896059539828,1.2994588130773177,6.769401241140316,1.2931644918799657e-11,0.39944472152186117,2.231344020276287,0.025658349879189635,0.7802358247904196,3.337334457635062,0.0008458609355085215,0.5872391194104744,2.670512908152297,0.007573545954443127
period1,size_bm,1,3,26,0.0110950955816455,0.838367125266664,0.40182454693059433,0.7634187317404688,0.7183556330243677,1.0937485361063028,9.637595158599225,5.547226772235273e-22,0.2044449582187179,1.0776172403208655,0.2812046051568762,0.2829856757038297,1.4667704834920976,0.14243850167641453,0.004592532953314719,0.0286496582982849,0.9771440067252907
period1,size_bm,1,4,26,0.007454498029595838,0.7925576790900298,0.42803557407931414,0.9168279874802447,0.9009856993812437,1.0179257476575694,12.876125053072181,6.13387052989415e-38,0.38760080408198033,4.01413833752023,5.9663348389870536e-05,0.40520460942629744,4.075861493583548,4.584430188305762e-05,0.09856722234892906,1.0755588397447893,0.2821246039077493
period1,size_bm,1,5,26,-0.003697755581605195,-0.8257296357674547,0.4089574770002541,0.9371475144012729,0.9251756123824677,0.9266017812818097,15.086551492896941,1.985519014763191e-51,0.1483034235917401,4.898089141276984,9.677313401333425e-07,0.560728564840597,4.6835195313424025,2.8199057039812444e-06,-0.13116531299123604,-1.9665487550168246,0.04923525627667181
period1,size_bm,2,1,25,-0.00784479744919427,-0.4813177810467285,0.6302906615373944,0.674130503606696,0.6089566043280352,0.7650819415413753,3.269930882414735,0.00107573765491714,0.5257966144982751,1.8622677673292833,0.06256535644970018,-0.6910551583298375,-4.738326733706207,2.154901668760739e-06,0.2766003802249726,1.5947825105452567,0.11076087937092827
period1,size_bm,2,2,26,0.009331220208419692,0.5625936662948079,0.5737116059041201,0.8089510271377748,0.772560746592589,1.1042861610671706,6.9550877970249845,3.523425363981978e-12,0.19737183974258005,1.3137734642902057,0.18892245000917296,-0.43902185700865204,-2.150887581650364,0.03148507395519795,-0.3099349612453552,-1.8442728284001642,0.06514338929370461
period1,size_bm,2,3,26,0.005781632181265896,0.8989183084357221,0.36869617521385123,0.909974101127505,0.8928263108660773,1.1650870752353286,18.731890223451888,2.7208188338453536e-78,0.053954633086050294,0.44609882185988425,0.6555258638044501,-0.3070489837203155,-2.143535249254936,0.032070143794060445,-0.06996228539384032,-0.4341909212774875,0.6641498052464903
period1,size_bm,2,4,26,0.00497148415386716,1.0963626452987145,0.27292010438741654,0.9820599219751887,0.978642764256177,1.2011594717429586,33.403589027937684,1.2159598867497613e-244,0.2128433073860745,7.582415220756591,3.391807206453507e-14,0.23306836357837496,3.9633793013207486,7.389623230507914e-05,-0.07011367511255712,-2.7274286298429016,0.006383006415169281
period1,size_bm,2,5,26,-0.011840171173763653,-2.6306745241447773,0.008521560339610412,0.9462191662304281,0.9359751978933668,0.9471914506695853,35.35636101499002,8.005392173788587e-274,0.040845618090108,0.46816265178821664,0.6396682784053822,0.41162737779421366,9.543340423259249,1.3830415935922872e-21,-0.10065101658011778,-2.1629702611246624,0.030543467006245117
