portfolio_type,period1_mom_sig,period2_mom_sig,delta_mom_sig,period1_r2,period2_r2,delta_r2,period1_mean_abs_beta,period2_mean_abs_beta,stability_score,n_portfolios_p1,n_portfolios_p2
size_bm,36.0,32.0,-4.0,0.815558389303672,0.910688168989721,0.09512977968604908,0.4004418442842203,0.37929892939796866,13.512977968604908,25,25
size_op,54.54545454545454,42.857142857142854,-11.688311688311686,0.7111939543739203,0.7567120589715783,0.04551810459765804,1.1473079421737653,1.6834849429226781,16.24012214807749,11,7
size_inv,24.0,28.000000000000004,4.0000000000000036,0.7864041264831979,0.9220925447803283,0.1356884182971304,0.3140727284060911,0.3454402844968417,17.568841829713044,25,25
