Factor,FF5_Sig_Rate,FF6_Sig_Rate,Sig_Rate_Diff
MKT_RF,0.9454545454545454,0.9636363636363636,0.018181818181818188
SMB,0.6727272727272727,0.6909090909090909,0.018181818181818188
HML,0.6181818181818182,0.4909090909090909,-0.12727272727272726
RMW,0.4,0.5272727272727272,0.1272727272727272
CMA,0.5636363636363636,0.41818181818181815,-0.14545454545454545
WML,0.0,0.43636363636363634,0.43636363636363634
