factor,lambda_mean,lambda_std,t_stat,p_value
const,-0.025692573537601064,0.07595628671641848,-2.576071303993824,0.012609324674273678
MKT_RF,,,,
SMB,,,,
HML,,,,
RMW,,,,
CMA,,,,
WML,,,,
beta_MKT_RF,0.01975144680195602,0.06190842887275744,2.4297585982258907,0.018281911065878727
beta_SMB,-0.012546662052918704,0.035704516806350235,-2.676202900300474,0.009705138642818982
beta_HML,-0.02203052601625642,0.03772367144932203,-4.447591687040211,4.075088530377101e-05
beta_RMW,-0.007690457975524805,0.05227652638232147,-1.1203648573250424,0.26725676448702157
beta_CMA,0.0022261144686027408,0.01475311986186572,1.1491523731452475,0.2552924030602145
beta_WML,0.022049473913199637,0.0437761104144542,3.835968724419787,0.00031524282141009053
