factor,lambda_mean,nw_t_stat,nw_p_value,sharpe_ratio,n_months
MKT_RF,-0.562385614037578,-0.8090161498594992,0.418505856882305,-0.17280029967306956,6
SMB,0.31862738238326493,0.6105333369473555,0.5415085669938258,0.11642308765835244,6
HML,-0.7781414940420999,-0.4436152505856112,0.6573207777940759,-0.07547771361764437,6
RMW,0.07332181217130919,0.7506448103074141,0.45286644563036527,0.17571031271286128,6
CMA,0.5389653632842923,0.481702184383006,0.630017524109572,0.08317892089586819,6
MOM_EQ,-0.5880232048807672,-0.30673448492274324,0.7590454790708627,-0.04973555194573233,6
