window_start,window_end,n_months,mean_r2,mean_adj_r2,mom_sig_rate,alpha_sig_rate,mean_abs_mom_beta
2021-08,2023-07,24,0.8532692934208732,0.8223786183515834,45.45454545454545,18.181818181818183,0.14893922789026948
2022-02,2024-01,24,0.8664605694425144,0.8383470051146229,18.421052631578945,15.789473684210526,0.17585950972872552
2022-08,2024-07,24,0.8637367625343996,0.8350497651732206,25.0,29.166666666666668,0.18035422336116244
2023-02,2025-01,24,0.8966060263907785,0.8748388740519951,44.0,12.0,0.33542469525826246
2023-08,2025-07,24,0.9210193811112091,0.9043918823977793,16.0,20.0,0.3035668457118472
