portfolio_type,period1_mom_sig,period2_mom_sig,delta_mom_sig,period1_r2,period2_r2,delta_r2,period1_mean_abs_beta,period2_mean_abs_beta,stability_score,n_portfolios_p1,n_portfolios_p2
size_inv,16.0,12.0,-4.0,0.7888358704529953,0.9198711147809858,0.13103524432799052,0.1735465260860575,0.22170104403610125,17.103524432799052,25,25
size_op,81.81818181818183,57.14285714285714,-24.67532467532469,0.7354102724476136,0.7847183658912035,0.049308093443589884,0.8127627559371002,1.9327855213757197,29.606134019683676,25,25
size_bm,44.0,4.0,-40.0,0.8197886013019651,0.9090972015813854,0.08930860027942034,0.22737387302673512,0.27366312061639286,48.93086002794203,25,25
