portfolio_type,size_quintile,factor_quintile,alpha,t_alpha,p_alpha,beta_MKT_RF,t_MKT_RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_WML,t_WML,r_squared,adj_r_squared,n_obs
size_bm,1,1,-0.03530102543412657,-4.41788893445799,9.966961140870603e-06,0.9036991999148092,4.293695456722691,0.7128181990660312,3.687523666312844,0.1519261010353007,0.4080816564340901,0.45371899064254306,10.037874644000443,-0.7403970556566182,-1.3928268152687184,0.06403797598673372,0.2531547964082578,0.8507264004679091,0.6268160011697729,11
size_bm,1,2,0.03216119444614319,1.5232453608724483,0.12769733135993125,1.2747041455159553,6.23852774479309,0.47331668271035615,0.8825367914005608,0.333705929952706,0.35546011387276494,-0.0003061461804894322,-0.002770539197617658,0.8622326753163316,0.5972587487403446,-0.1401255495517637,-0.16973127728037887,0.8211246144210753,0.5528115360526883,11
size_bm,1,3,0.0053149527925235454,0.390676858943797,0.6960361060415737,1.318276294376073,12.950599898536543,0.9427380171737131,2.912850829184164,0.644030260798912,1.5432791036584803,0.06306044602305846,0.9025268872463389,0.6616386054075719,0.9790847080704301,0.38569741215992137,1.0380871635851032,0.9200317100084277,0.8000792750210691,11
size_bm,1,4,0.011258196153529205,1.3796247590666435,0.16770221014409836,1.217743919155276,22.5098053792219,1.2878861454025319,8.194244489021054,0.3530172788546859,2.3959489175513116,0.023902441780809178,0.47385848194408264,1.386300685195811,5.414007941390151,-0.09262442554057981,-0.6104610860932225,0.9693636858577303,0.9234092146443256,11
size_bm,1,5,-0.011319294326737606,-1.4130647506771123,0.15763668637526307,1.1110046792317252,10.443231865685677,0.7090836930604599,14.492867790671088,0.8637490632137538,3.188269664798503,0.319419123239522,5.335605382243654,0.9674445331060012,2.7447781808199636,0.13587370270044596,0.5954507739994486,0.96962235085366,0.92405587713415,11
size_bm,2,1,-0.11038405276524307,-3.661960334204034,0.0002502926202940061,1.341413342297985,2.299006041824004,-0.0036313887627233976,-0.007454708587840016,1.6374748851235281,1.0436798471409137,0.4680662322100351,2.039795983218181,-2.278594672859068,-1.178676589619269,2.653705233859516,2.3263350440632804,0.7694121241331331,0.4235303103328327,11
size_bm,2,2,0.007404082570618718,1.069634148708363,0.28478401788073915,1.1135409319107832,13.404096121273284,0.3217929181543459,4.809576925306484,-0.5451260943273648,-2.417192014283919,-0.08819538773616484,-1.8631309188352079,0.8096052782507984,2.858160237278536,-0.13494951937955607,-0.7371004049674783,0.9813226276249201,0.9533065690623002,11
size_bm,2,3,0.0109122972077832,1.1341388639623622,0.2567363036819007,1.1381131244536884,11.165347546876259,0.3479602146444347,5.986146112081436,-0.11805535503655068,-0.31861286200014877,-0.09840512392568246,-1.4946433717659868,0.16366504054488362,0.28780830792351936,-0.25511448113665136,-0.7168250668542204,0.9478179348213965,0.8695448370534913,11
size_bm,2,4,0.010546340411844567,1.422285341276729,0.1549434325895873,1.1985198354074889,50.632662988366434,0.25576961533873127,2.080423321423524,0.4904562242782168,2.3418316677472784,-0.05830136186783782,-2.2374066310518343,-0.024571331132644092,-0.06371740880898602,-0.07791922589126943,-0.3817766788685565,0.9804313385443639,0.9510783463609098,11
size_bm,2,5,-0.007719245185120713,-1.7958147437798815,0.0725239850868224,1.1149951200486765,23.749770014086952,-0.16684224063684217,-4.626238181727079,1.0491862669683898,11.745003866167695,0.05856585747980603,2.3464156596153756,-1.1880593930614405,-9.46363629987554,0.4510660178403577,6.291260332622402,0.9915518297046078,0.9788795742615194,11
