porfolio_type,size_quintile,factor_quintile,mean_excess_return,std_excess_return,t_stat,p_value,sharpe_ratio,n_months,avg_n_stocks
Size-Inv,1,4,-0.028458142217378298,0.08100633832053081,-2.6523142081357456,0.010380342101794048,-1.2169652210295598,57,11.859649122807017
Size-Inv,1,5,-0.03409062979001224,0.08787768298044385,-2.824192931000462,0.006705007032606995,-1.343838409382334,53,7.283018867924528
Size-Inv,2,1,-0.0019605505865221634,0.10578769346836742,-0.13744351367286287,0.8911914415659399,-0.06419977816570414,55,16.072727272727274
Size-Inv,2,2,-0.014032700946622763,0.09881356439559516,-1.1000193627465527,0.27579178670950666,-0.49194361433345823,60,15.516666666666667
Size-Inv,2,3,-0.019569305553506437,0.0869717981358281,-1.7283152856780506,0.08925259310882559,-0.7794487917698888,59,13.101694915254237
Size-Inv,2,4,-0.024974270756312485,0.08568861658391823,-2.1614790433440434,0.03510982052082105,-1.0096254918423577,55,13.10909090909091
Size-Inv,2,5,-0.015430062191039607,0.09873440807136613,-1.1589921498720803,0.25155899430505607,-0.5413644989801449,55,12.418181818181818
Size-Inv,3,1,0.00010928295963351573,0.0976646388697149,0.008373540267869855,0.9933492587750598,0.003876195943124373,56,13.732142857142858
Size-Inv,3,2,-0.007765898510858376,0.08969085093262034,-0.6594130884798364,0.5122860102203304,-0.29993986337213174,58,12.758620689655173
Size-Inv,3,3,-0.005363987666913448,0.11494428012395579,-0.3429235301578515,0.7330124375651343,-0.1616557024020309,54,15.296296296296296
Size-Inv,3,4,-0.0013337919269516708,0.10392532437378613,-0.0968956150030152,0.9231552446676767,-0.044458757249512294,57,13.736842105263158
Size-Inv,3,5,-0.00988913051223311,0.08385017259302857,-0.850463774348305,0.39904255072324735,-0.4085495821935009,52,16.26923076923077
Size-Inv,4,1,0.021128225931438472,0.12204031268320126,1.3184805191458213,0.19261630268613872,0.5997225012368063,58,10.862068965517242
Size-Inv,4,2,-0.0006367067758293638,0.10379689440984739,-0.04671637207695257,0.9629025760638248,-0.02124935416478511,58,13.362068965517242
Size-Inv,4,3,0.0015515521752257257,0.09255751831380078,0.12431857621276908,0.9015246620957242,0.05806912819278273,55,14.254545454545454
Size-Inv,4,4,0.00482057480823488,0.10332298621642448,0.3553169079188342,0.7236636882155308,0.1616190316462641,58,14.517241379310345
Size-Inv,4,5,-0.0005093327902649372,0.09724860011169595,-0.04056896268137048,0.967776501686031,-0.018142991666439304,60,15.8
Size-Inv,5,1,0.01513145960254675,0.11082643589502819,1.0398039255064724,0.3028216641374072,0.4729639929792722,58,8.275862068965518
Size-Inv,5,2,0.005862161216001064,0.09133929985816104,0.4759720209015105,0.6360143920706458,0.2223262294333513,55,10.690909090909091
Size-Inv,5,3,0.007171069083382449,0.08910332835141337,0.6129202587150038,0.5423669561758153,0.27879218940103173,58,14.120689655172415
Size-Inv,5,4,0.016521646515991126,0.10904165880216103,1.1539178015382658,0.25334929246411547,0.5248696966782173,58,17.051724137931036
Size-Inv,5,5,0.007490203472361888,0.10142625726428976,0.5624154109682021,0.5760383143791594,0.2558196136401714,58,19.275862068965516
