factor,mean_delta_r2_single,mean_delta_r2_eq,relative_improvement_eq_vs_single,median_delta_r2_single,median_delta_r2_eq,positive_delta_share_single,positive_delta_share_eq,alpha_sig_rate_single_pct,alpha_sig_rate_eq_pct,mom_sig_rate_single_pct,mom_sig_rate_eq_pct,n_portfolios,relative_improvement_vs_avg_single
MOM_4M,0.028604990504922285,0.020540386425600143,-0.008064604079322142,0.011152537845213528,0.005966198985902449,1.0,1.0,38.18181818181819,41.81818181818181,38.18181818181819,32.72727272727273,75,-0.0033422398863761464
MOM_8M,0.01886958758259935,0.020540386425600143,0.0016707988430007918,0.006751679001679167,0.005966198985902449,1.0,1.0,36.36363636363637,41.81818181818181,18.181818181818183,32.72727272727273,75,-0.0033422398863761464
MOM_12M,0.01585504877705942,0.020540386425600143,0.004685337648540722,0.00578744405406606,0.005966198985902449,1.0,1.0,41.81818181818181,41.81818181818181,34.54545454545455,32.72727272727273,75,-0.0033422398863761464
MOM_24M,0.03220087838332412,0.020540386425600143,-0.011660491957723975,0.014715376660358048,0.005966198985902449,1.0,1.0,52.72727272727272,41.81818181818181,41.81818181818181,32.72727272727273,75,-0.0033422398863761464
MOM_EQ,,0.020540386425600143,,,0.005966198985902449,,1.0,,41.81818181818181,,32.72727272727273,75,-0.0033422398863761464
