period,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,p_MKT_RF,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_MOM_24M,t_MOM_24M,p_MOM_24M
period2,size_bm,1,1,27,-0.002318685450592021,-0.14971310124104814,0.8809909713879109,0.8610524506124093,0.8357892598146656,1.5051336870760883,12.374443302797044,3.593773828002941e-35,0.6681780255961363,2.4519386538046235,0.01420888836747034,0.7757209686061625,1.8084966436567576,0.07052923871927416,0.417153231594208,1.1059378413288543,0.26875342446065886
period2,size_bm,1,2,27,0.0070018178382619855,0.44779324344272725,0.6543024200802332,0.6867424360890193,0.6297865153779318,0.8233811990205311,2.7933048419793054,0.005217249964785481,0.41793758243896506,1.4564247039662808,0.14527525049182596,-0.6562961232086545,-0.9091684374108507,0.36326122192571886,-1.1775611480066472,-1.3861808375834381,0.1656916912525528
period2,size_bm,1,3,27,0.0068131548444777795,1.3678932930486392,0.1713454794490249,0.9388610418636658,0.9277448676570595,1.0412672006154011,12.793377981716262,1.7854136010421948e-37,0.5731660226493286,5.961945991469313,2.49251538605571e-09,0.34267676430001937,1.8870548218748442,0.05915295237732734,0.23113993303501928,1.4616721884598618,0.14383106198623086
period2,size_bm,1,4,27,0.0022312959423859396,0.4869001837967729,0.6263290686691476,0.9451563135171457,0.9351847341566267,1.0693285884187675,13.880245158966314,8.345800807296151e-44,0.6225908445882984,3.799531986270878,0.000144969601322373,0.36509459696427854,2.6272140286691976,0.008608716778448131,-0.006435172514339391,-0.05674340560663498,0.954749597021875
period2,size_bm,1,5,27,0.00321041591539326,0.5732740972694906,0.5664591209200784,0.9495966588811628,0.9404324150413743,1.0858580055902993,13.897787971095486,6.532931718529665e-44,0.5818988599784429,6.25044186565018,4.092930625248718e-10,0.6192673612787919,3.303857804785612,0.0009536418902928116,-0.010665044072430532,-0.05099791148170675,0.9593271847805885
period2,size_bm,2,1,27,-0.016354092497039643,-0.7055372868007577,0.4804759361799229,0.7957590180648109,0.7586242940765946,1.0664346215017857,5.884893006488338,3.983115799698696e-09,0.29416661878779204,1.2015465835664887,0.2295392477881082,-1.7261587613002163,-2.1105107805244008,0.034814383580397276,-1.3044096710480035,-1.5173164313019092,0.1291868116377136
period2,size_bm,2,2,27,-0.012634631850186652,-1.6131408221047956,0.10671391672307284,0.9502507826290879,0.9412054703798312,0.9728819464783114,11.037038975165125,2.5324132995786253e-28,0.34328260210334344,2.9173586078236835,0.0035300965603954036,-0.40110983246992904,-2.1250633249822015,0.033581329291107305,0.21218565509090218,0.9301098676897523,0.352314202181528
period2,size_bm,2,3,27,-0.0030018097232969694,-0.8969838020523951,0.369727560424295,0.9864145016299812,0.9839444110172505,1.1674384560257018,41.07022257276729,0.0,0.12583980831416808,2.2643888055018038,0.023550211878877722,-0.02039734924674244,-0.2845771968877712,0.7759680834375193,-0.07714567035810985,-0.7619084818680417,0.4461146273562887
period2,size_bm,2,4,27,-0.004332597755241885,-0.7457785848400418,0.455801178458078,0.954000047326728,0.9456364195679513,1.0880821906151934,18.48079409681699,2.9481022732512786e-76,0.06714503302037833,0.6637373156557258,0.5068584517556016,0.299582666602106,1.8436014827014653,0.06524123979130549,0.07075087529657442,0.4552897841045528,0.6489007748312179
period2,size_bm,2,5,27,-0.0003625027541429866,-0.10354401232375941,0.91753122040822,0.9660697959640777,0.9599006679575464,0.9325319819498689,15.288866941462437,9.07146905357282e-53,0.2155037278981662,3.4709255610943552,0.0005186677604341662,0.46297073929150384,3.453999499715859,0.000552338400209272,-0.09832682664367587,-0.6673230920709106,0.5045657793038023
period2,size_bm,3,1,27,0.005117462151992135,0.8083916553448957,0.4188651541848478,0.8906796656869752,0.8708032412664253,1.0855488391170958,10.242401976851458,1.2801797134497142e-24,0.6900181462504449,2.892056632996577,0.0038272895036039695,-0.4795710701233571,-2.0464782892393516,0.04070933637949571,0.2138533540018384,0.5028253226582731,0.6150870883162378
period2,size_bm,3,2,27,0.004440034475549852,0.5983794922449778,0.5495867463413863,0.9604009026942293,0.9532010668204528,1.0465551175283243,11.580584251220795,5.169253978547802e-31,0.07404807885912776,0.7768904784918353,0.43722338927634397,-0.09681574064371963,-0.5903081754658088,0.5549840593244524,0.046639542964637334,0.23399554039418888,0.8149884408192716
period2,size_bm,3,3,27,-0.009671614105527087,-1.1261447173822139,0.2601042688300891,0.922405550372417,0.9082974686219474,1.0208129371408423,13.290231124252598,2.637622311803966e-40,-0.09906733054775478,-0.8698087596537345,0.3844049236205874,-0.27878257977313314,-0.891598371288525,0.37260824346292853,-0.4077519705775744,-1.6831172142923887,0.0923524026708091
period2,size_bm,3,4,27,0.005890310530435385,1.264400244558202,0.20608640515488408,0.975807035924357,0.971408315183331,1.1771518030422445,20.359596226758367,3.817163073559829e-92,0.10787018039539595,1.148680757599294,0.2506876432134323,0.49851502128400843,3.713090804571377,0.0002047433845361949,0.19353644402027514,1.5811066220895693,0.11385366086936465
period2,size_bm,3,5,27,-0.0051928899077172425,-0.6592985623412929,0.5097040654264168,0.9282431082424547,0.9151964006501737,0.9440733347179704,13.207275031098915,7.965619511706262e-40,0.15083204136854272,1.4579333324335817,0.1448589199045591,0.27572720162836345,0.9304929505306779,0.35211591239059226,-0.08174456630139566,-0.3120398933949502,0.7550102053458558
period2,size_bm,4,1,27,0.0240394261058625,2.0690951876097547,0.03853715524343821,0.9376973609025758,0.9263696083394077,1.3003046917957057,14.565303752929536,4.669045993366692e-48,-0.38534058466717436,-3.0711480155031663,0.0021323741462701694,-0.17616210518036057,-0.5503638177218924,0.5820698604426473,0.8652794865160716,3.3373527730936132,0.0008458051910416862
period2,size_bm,4,2,27,0.001924071989152789,0.2826964101020597,0.7774095683709105,0.9360686279938161,0.9244447421745099,0.8996662817987802,15.842777663561098,1.576981912046837e-56,-0.20482754176786855,-2.344827780094271,0.019035870087367554,-0.11671746272618592,-0.4913008428730703,0.6232136838028925,0.11475166260623504,0.5770084175738219,0.5639337692016795
period2,size_bm,4,3,27,-0.009198409592563352,-1.7368999472173747,0.08240483275469643,0.9593858454293386,0.9520014536892183,0.9792719050403825,13.415403178668239,4.912541669456136e-41,-0.35003215965647944,-2.342987292926598,0.019130034619342998,0.044180234103963816,0.24797272440817114,0.8041555105842919,-0.026316906584986116,-0.11908752153148053,0.9052060167640705
period2,size_bm,4,4,27,-0.011585799632774792,-1.628441128799663,0.10343138268318237,0.9388123460636301,0.9276873180751992,0.9541942018372283,19.955040121796614,1.355142001334082e-88,-0.2821745926120388,-2.0331454142113214,0.042037833947663236,0.22823161861048322,1.3383750382273523,0.18077421177894892,0.04698701789147054,0.3014365758136238,0.7630816070690957
period2,size_bm,4,5,27,-0.0007549262599267099,-0.08134170066330648,0.9351702115108497,0.8347674020724134,0.8047251115401249,0.8017172360106571,12.593725555596624,2.2862271459307702e-36,-0.265317437298762,-1.982785732758305,0.047391368340341376,0.5262877837182407,2.1705090120410615,0.0299683066648201,-0.3549683025077234,-1.3855149293217883,0.1658950706936141
period2,size_bm,5,1,27,0.007766977974349675,1.6381313480255022,0.10139429689119875,0.9332971183115271,0.9211693216408956,0.8571583162254464,9.622012820720851,6.455535404701426e-22,-0.5890188803302656,-5.087000527776444,3.637708222590083e-07,-0.7000753253723019,-4.591822183511537,4.393926704998299e-06,0.03899140692170662,0.23725910763114777,0.8124557838126948
period2,size_bm,5,2,27,-0.01723671992093069,-2.0230404372422046,0.04306897860864349,0.8997539522984825,0.881527398170934,0.7426001805560463,8.821418421147143,1.130188462727306e-18,-0.5816232244399941,-2.039531746278087,0.04139698616565445,-0.4290120487987652,-1.2869187586267927,0.19812260623611178,-0.16528148443442456,-0.548967842320688,0.583027518701311
period2,size_bm,5,3,27,-0.02240640936230455,-2.858349491645017,0.004258510751621411,0.8952131574662145,0.8761610042782535,0.7353074653909111,6.323129794724371,2.563178243489988e-10,-0.534872717592363,-3.6143627713809447,0.00030108723821630043,-0.5530976943079456,-2.1956698247898516,0.028115584482545385,-0.44861671873627296,-1.2249685082494668,0.22058708607725053
period2,size_bm,5,4,27,0.008016147392734877,1.0960330710188861,0.2730643021251945,0.870910574037794,0.847439769317393,0.8254053403125066,6.291426508864375,3.145617326128806e-10,-0.9538052003922121,-5.14490400053763,2.6765764869672356e-07,0.7926112870425633,3.515435667169264,0.0004390331142544849,0.00689704802907346,0.024217335543115615,0.9806792504215687
period2,size_bm,5,5,27,-0.00042679441795158706,-0.03929066604509278,0.9686586482886016,0.8100843454603202,0.7755542264531057,0.8140837860779659,7.944008447204312,1.9575025496733208e-15,-0.3831253175364871,-1.9380447597975543,0.05261776196988117,0.22149487864846376,1.1075651906407469,0.26804964362535477,-0.22418887565622742,-0.7657394890526453,0.4438313254648676
