Model,Avg_Alpha,Alpha_Sig_Rate,Mean_R2,Mean_AdjR2,Valid_Portfolios,MOM_Sig_Rate,HML_Sig_Rate
FF5+MOM_4M,-0.002808248238582885,0.38181818181818183,0.9186894981989299,0.7859476010738269,55,0.5454545454545454,0.6727272727272727
FF5+MOM_8M,-0.003376689220605016,0.36363636363636365,0.9089540952766071,0.7585099467884988,55,0.4,0.6363636363636364
FF5+MOM_12M,-0.0048360624232121185,0.41818181818181815,0.905939556471067,0.7468308585270265,55,0.5454545454545454,0.6545454545454545
FF5+MOM_24M,-0.0015645938962768784,0.5272727272727272,0.9222853860773317,0.7960172817316471,55,0.6181818181818182,0.6545454545454545
FF5+MOM_EQ,-0.005251975251428102,0.41818181818181815,0.9106248941196079,0.7649890701994123,55,0.5272727272727272,0.6909090909090909
FF5_baseline,-0.0012855346931155496,0.34545454545454546,0.8900845076940076,0.7709536048956378,55,,0.6181818181818182
