model,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_MOM_8M,t_MOM_8M
FF5+MOM_8M,size_bm,1,1,11,-0.027816937909193443,-2.7139369376389326,0.006648882188056539,0.8531154557317907,0.6327886393294768,0.9458432409984592,5.2245288627742354,0.7475404575675786,5.513657843781309,0.20811612966455995,1.1787314132252882,0.44869535061282106,7.123439357550612,-0.8705298348382104,-3.313010155294789,0.24996866305039145,1.326998587481209
FF5+MOM_8M,size_bm,1,2,11,0.04475236069270222,2.576782686204147,0.00997246249423947,0.8404441662146979,0.6011104155367446,1.459413609243491,11.230321595998829,0.5002601097102668,1.4961534903465428,0.8261405085841529,3.3476844702553743,0.046204188212633605,0.557448796408329,0.11730917790556941,0.13873086792069803,0.6929440136096359,1.383381566916884
FF5+MOM_8M,size_bm,1,3,11,0.01830401577691507,1.6764146420725137,0.09365700287452275,0.9164019345898644,0.791004836474661,1.265356704539606,11.402994156809651,1.0378629552060437,5.917516025564673,0.300798749508659,1.3603959390522942,-0.006539523528305419,-0.08895580014128003,1.0184208364094074,2.0320728206903613,0.13210037460225865,0.2890449163989523
FF5+MOM_8M,size_bm,1,4,11,0.007418306538158066,1.441140266576974,0.14954505970831974,0.969255277674083,0.9231381941852076,1.2235636370577962,18.18058230050145,1.2624818321918423,9.416910454181927,0.4201353112229461,3.0348089906632674,0.03973319299936805,1.0972702978518962,1.3262342407282868,5.1383364530013065,-0.06256761543210132,-0.3136351938250663
FF5+MOM_8M,size_bm,1,5,11,0.003058403138386505,0.628265722537466,0.5298298824585146,0.9832487397858025,0.9581218494645063,1.1860674897242063,27.444840320574386,0.7774203914716119,17.33636946211072,0.9510670479008724,12.660149235638492,0.3069187396413607,11.087546113121592,0.7447155801720109,11.128309540754012,0.46609309862418424,4.569475203300445
FF5+MOM_8M,size_bm,2,1,11,-0.10017304318475241,-4.302919683385664,1.6856196748133857e-05,0.7800643075085745,0.4501607687714362,0.22057440359324165,1.0132183054540749,0.3696095744624057,0.8720223003308637,-2.4056730745684187,-4.595274585032784,-0.10785747360066156,-0.3077744091093746,2.989876684196464,6.510478628482172,-2.4793319882151352,-2.5905421057648317
FF5+MOM_8M,size_bm,2,2,11,-0.008368091207743848,-2.916748732939975,0.003537005813433427,0.9910445496861072,0.9776113742152681,1.0247227061916915,27.44267602743679,0.24861901456482843,3.7978543443153803,-0.6635519734979649,-8.304475892603572,-0.0776097350757923,-3.332614942701411,1.08386320537758,8.787866024612736,-0.5267973702224296,-4.594179011104577
FF5+MOM_8M,size_bm,2,3,11,-0.008580259845827151,-1.5369838205600297,0.12429727148681596,0.9596300568730779,0.8990751421826948,1.0689023922810648,12.80744938083393,0.24630956839726037,3.1932982228497444,-0.12261277723738062,-1.057842462484401,-0.06573523741139894,-1.3810427924526647,0.31516478418243143,3.5269578893169755,-0.5539828647939113,-4.410867146348257
FF5+MOM_8M,size_bm,2,4,11,0.00596033773465577,1.06400500495306,0.28732643225203025,0.980875145124227,0.9521878628105676,1.1904548475558179,28.194958469407563,0.22958160471267372,2.829346844696114,0.5181171314063721,8.268176047786438,-0.046646228836292235,-1.6316767543826898,-0.02691068167767252,-0.11284523415641057,-0.11066482988484294,-0.7580821797182059
FF5+MOM_8M,size_bm,2,5,11,0.010200887414155677,7.08830030270779,1.357691115284087e-12,0.9833572418690099,0.9583931046725247,1.079201976732053,42.45156922351711,-0.045896922586741884,-0.5654811442709673,0.7057723343271829,19.176175083279897,-0.019483123982609343,-0.5534542263623903,-0.8678371690112645,-7.388133121759723,0.27132833751406604,4.158064475207587
FF5+MOM_8M,size_bm,3,1,11,0.007488157677294837,1.2239867472871429,0.2209572269966824,0.9050927124383087,0.7627317810957717,1.0168032951986838,10.050727891342111,0.3009947572516155,0.869635963775066,-0.9966774378173265,-5.548888123394488,0.3354092200819524,1.9449029847237875,0.09472308265783136,0.23091020834992604,-0.3932061310249201,-1.0668792923587347
FF5+MOM_8M,size_bm,3,2,11,-0.0020957398492096966,-0.1927217539172464,0.8471768856644816,0.9318622001186758,0.8296555002966896,1.0631672279737492,11.087055657286044,-0.14897287861498903,-1.8025129572448058,-0.10392949710372362,-0.48279671794586154,-0.03225095530784992,-0.2906062471779357,-0.174688934399289,-1.0920754880837646,0.2336773963194173,0.667109636150149
FF5+MOM_8M,size_bm,3,3,11,0.0014430425077760593,0.13351982905021165,0.8937822833578463,0.9215684322874214,0.8039210807185534,1.1767501720450533,12.06464363180233,0.02497080124279473,0.18168499184722078,0.06197611936262937,0.5542676754555095,-0.07946605141226436,-1.216786802456558,-0.27576042759674735,-1.8690257078705914,0.5537846689102388,2.370580602959445
FF5+MOM_8M,size_bm,3,4,11,-0.01781854498448484,-1.858974300695951,0.06303078119568396,0.9079561322088735,0.7698903305221838,0.9677697932762689,10.544648345050097,-0.29243169090241405,-2.8390470290241026,0.08347045154965826,0.38176542649952433,0.0040382550515147,0.04714534309843507,-0.8922115373487094,-3.7241834706190966,0.03762435188833946,0.1088521664922893
FF5+MOM_8M,size_bm,3,5,11,-0.013006944555951007,-5.218514472139911,1.803638878274349e-07,0.9682928340914105,0.9207320852285263,0.8469159748335173,19.799464517381246,-0.01596054970867547,-0.19737808230014608,0.2615552420828374,5.351153220460363,0.16901955392923138,4.381541298010937,0.17062808991098266,0.9856901037401933,-0.121850214349843,-1.7156101373055943
FF5+MOM_8M,size_bm,4,1,11,0.004340187329237544,0.4535558416142414,0.6501485426542783,0.9540549669659748,0.885137417414937,1.0747267794952944,10.410720504200206,-0.12551651352216336,-1.353431575253718,-0.6774290859618961,-3.8962380922032565,0.29154133938476734,4.5383790541616325,0.19567019643779626,1.5935258223901274,0.19594091539508937,0.9300724404513437
FF5+MOM_8M,size_bm,4,2,11,0.021597667796069572,50.41799680235857,0.0,0.9990835113365958,0.9977087783414895,1.113479180219944,182.57291193952372,-0.4371842232011709,-16.1429419195346,-0.19594128834180152,-18.44365181026642,-0.13754298317069918,-12.315600157130975,-1.1493284853342878,-42.07279083859944,0.034690775563835326,1.55526892567991
FF5+MOM_8M,size_bm,4,3,11,-0.017816086792986855,-3.5665426763424914,0.00036172192579254605,0.9809410397134678,0.9523525992836694,0.9481412356366747,25.056636365117864,-0.730070616727372,-14.394959045364931,-0.20131436038451914,-3.560600035740665,-0.25377805445529306,-6.685744561352596,-0.4767483048487364,-2.304071287901653,-0.08666978234670975,-0.43971837082101334
FF5+MOM_8M,size_bm,4,4,11,0.009477152722627079,2.191735615006707,0.028398602515848293,0.9888353543466917,0.9720883858667292,1.1655618576352842,26.887872595255825,-0.7936208187392474,-22.82727593908775,0.17640709847932284,3.3132198753572757,-0.04737158463763535,-1.8003737613919026,-0.24776842948049904,-3.5386338242407613,-0.16505243957282,-2.3227037795677616
FF5+MOM_8M,size_bm,4,5,11,-0.016416437189993055,-2.9682456304408524,0.0029950488399642485,0.9153872606165576,0.788468151541394,0.7849406894930981,12.847389522116258,-0.5247897303707884,-7.791354632598108,0.698504189813542,6.384037350099085,0.00719304968399502,0.16651001830735354,-1.7952516780082468,-8.077275507017802,0.2603318181718941,1.0826871560486362
FF5+MOM_8M,size_bm,5,1,11,-0.0036057580049437157,-1.020781677575385,0.30735788707550016,0.965841099967991,0.9146027499199774,0.6216562136132605,9.512256699750841,-0.4760345133976489,-9.141270165774596,-0.6985001867536441,-7.579972637064166,0.03835377360574671,0.6914913435052332,-0.4530829408651925,-4.908059523977005,0.31656302623004057,1.7182411453143882
FF5+MOM_8M,size_bm,5,2,11,-0.01973496413877056,-2.9538324049307536,0.0031385440065856336,0.9688710946416791,0.9221777366041977,0.6356588958997645,10.929024386152465,-1.084385713350252,-23.440288490150806,-0.4569840703305622,-3.7112294883578283,-0.09717375213654487,-1.5397102241983338,-1.1410008823530289,-11.412842785773416,-0.41946106102167163,-2.0872528914342996
