portfolio_type,mean_alpha,alpha_sig_share,mean_r_squared,mean_adj_r_squared,mean_n_obs,n_portfolios
size_bm,-0.0036392696889612115,0.28,0.910398709545363,0.7759967738634076,11.0,25
size_inv,0.0030078485539138246,0.4,0.9277500755456991,0.819375188864248,11.0,25
size_op,0.00917359678626096,0.4,0.8226959227529811,0.3307585449524853,4.48,25
