portfolio_type,mean_alpha,alpha_sig_share,mean_r_squared,mean_adj_r_squared,mean_n_obs,n_portfolios
size_bm,-0.0017778956317343036,0.44,0.8897992938661177,0.7795985877322354,11.0,25
size_inv,0.002446794511127838,0.2,0.9134319786555146,0.8268639573110292,11.0,25
size_op,-0.017485376021238723,0.6,0.7747732220259226,0.4481769286356913,4.48,25
