Model,Avg_Alpha,Alpha_Sig_Rate,Mean_R2,Mean_AdjR2,Valid_Portfolios
FF5,-0.0012855346931155507,0.34545454545454546,0.8900845076940077,0.7709536048956377,55
FF6,0.0005469537373658155,0.34545454545454546,0.9103127134734811,0.7552380325991601,55
