metric,period1,period2,delta
Mean_R2,0.7918872916524224,0.8985480082508368,0.10666071659841436
Mean_Adj_R2,0.7168614511903859,0.8682527203380169,0.151391269147631
Alpha_Sig_Rate_pct,24.59016393442623,10.526315789473683,-14.063848144952546
MOM_Sig_Rate_pct,39.34426229508197,14.035087719298245,-25.30917457578372
Mean_MOM_Beta,-0.036912903521840935,-0.04637274194358644,-0.009459838421745505
Std_MOM_Beta,0.5619686017360618,0.8666347875302687,0.3046661857942069
Delta_R2,,,0.10666071659841436
Delta_MOM_Sig_pct,,,-25.30917457578372
Coefficient_Stability,,,0.024873785183397105
