Factor,Mean,Std,Skew,Kurtosis,Valid_Months,Valid_Rate
MOM_4M,0.0060666199251940035,0.047057879257798585,0.6364523258833218,1.3575704450057104,73,0.3802083333333333
MOM_8M,0.005649578108909854,0.053022568157338475,0.4711839798095191,1.767277449916076,69,0.359375
MOM_12M,0.00539300591066481,0.05503251104870165,0.3094948008369819,0.8910860147126369,65,0.3385416666666667
MOM_24M,-0.008315336475648619,0.05457829293816065,-0.5588840308454458,1.2876432180072794,53,0.2760416666666667
MOM_EQ,-0.0036993872435194244,0.03481411044078709,-0.5799766988295211,1.1283944595267754,53,0.2760416666666667
